"Drzava","Smrtnost.do.5.leta.starosti","Smrtnost.dojenckov"
"Afghanistan",94,67
"Albania",1,1
"Algeria",24,21
"Angola",169,104
"Argentina",10,8
"Armenia",1,1
"Australia",1,1
"Azerbaijan",7,7
"Bangladesh",119,97
"Benin",37,24
"Bolivia (Plurinational State of)",9,8
"Botswana",2,2
"Brazil",52,47
"Bulgaria",1,1
"Burkina Faso",60,42
"Burundi",37,25
"Côte d'Ivoire",75,55
"Cambodia",10,9
"Cameroon",71,47
"Canada",2,2
"Central African Republic",21,15
"Chad",83,51
"Chile",2,2
"China",182,156
"Colombia",12,10
"Comoros",2,1
"Congo",7,5
"Costa Rica",1,1
"Cuba",1,0
"Democratic People's Republic of Korea",9,7
"Democratic Republic of the Congo",305,233
"Djibouti",1,1
"Dominican Republic",7,6
"Ecuador",7,6
"Egypt",66,57
"El Salvador",2,2
"Equatorial Guinea",3,2
"Eritrea",8,6
"Ethiopia",184,130
"France",3,3
"Gabon",3,2
"Gambia",6,4
"Georgia",1,1
"Germany",3,2
"Ghana",54,38
"Guatemala",13,11
"Guinea",42,28
"Guinea-Bissau",6,4
"Guyana",1,1
"Haiti",18,13
"Honduras",3,3
"Hungary",1,0
"India",1201,946
"Indonesia",147,125
"Iran (Islamic Republic of)",21,18
"Iraq",39,32
"Israel",1,1
"Italy",2,1
"Jamaica",1,1
"Japan",3,2
"Jordan",4,3
"Kazakhstan",6,5
"Kenya",74,54
"Kuwait",1,1
"Kyrgyzstan",4,3
"Lao People's Democratic Republic",12,9
"Lebanon",1,1
"Lesotho",6,4
"Liberia",11,8
"Libya",2,1
"Madagascar",40,29
"Malawi",40,27
"Malaysia",4,3
"Mali",83,54
"Mauritania",11,9
"Mexico",31,27
"Mongolia",2,1
"Morocco",20,17
"Mozambique",82,60
"Myanmar",46,36
"Namibia",3,2
"Nepal",20,16
"Netherlands",1,1
"Nicaragua",3,2
"Niger",88,54
"Nigeria",750,484
"Oman",1,1
"Pakistan",432,351
"Panama",1,1
"Papua New Guinea",12,9
"Paraguay",3,2
"Peru",10,8
"Philippines",66,52
"Poland",2,2
"Republic of Korea",2,1
"Republic of Moldova",1,1
"Romania",2,2
"Russian Federation",19,16
"Rwanda",14,10
"Saudi Arabia",9,8
"Senegal",27,24
"Serbia",1,1
"Sierra Leone",26,19
"Solomon Islands",0,0
"Somalia",61,38
"South Africa",42,34
"South Sudan",39,26
"Spain",2,1
"Sri Lanka",3,3
"Sudan",89,61
"Swaziland",2,2
"Syrian Arab Republic",6,5
"Tajikistan",12,10
"Thailand",9,8
"Timor-Leste",3,2
"Togo",20,13
"Trinidad and Tobago",0,0
"Tunisia",3,3
"Turkey",19,16
"Turkmenistan",6,5
"Uganda",85,60
"Ukraine",4,3
"United Arab Emirates",1,1
"United Kingdom of Great Britain and Northern Ireland",3,3
"United Republic of Tanzania",98,72
"United States of America",25,21
"Uzbekistan",26,23
"Venezuela (Bolivarian Republic of)",9,8
"Viet Nam",34,27
"Yemen",34,28
"Zambia",39,27
"Zimbabwe",38,25
